link,t,x,delta_t,delta_x,q,k,v
link1,720,900.0,120,100.0,0.17708333333333331,0.16458333333333333,1.0759493670886076
link1,840,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,840,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,840,200.0,120,100.0,0.375,0.01875,20.0
link1,840,300.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,840,400.0,120,100.0,0.375,0.01875,20.0
link1,840,500.0,120,100.0,0.35416666666666663,0.065625,5.396825396825396
link1,840,600.0,120,100.0,0.20833333333333331,0.14583333333333334,1.4285714285714284
link1,840,700.0,120,100.0,0.20833333333333331,0.15833333333333333,1.3157894736842104
link1,840,800.0,120,100.0,0.19791666666666669,0.16041666666666668,1.2337662337662338
link1,840,900.0,120,100.0,0.19791666666666669,0.15989583333333335,1.237785016286645
link1,960,0.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link1,960,100.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link1,960,200.0,120,100.0,0.20833333333333331,0.010416666666666668,19.999999999999996
link1,960,300.0,120,100.0,0.20833333333333331,0.010416666666666668,19.999999999999996
link1,960,400.0,120,100.0,0.22916666666666669,0.1125,2.037037037037037
link1,960,500.0,120,100.0,0.16666666666666669,0.16458333333333333,1.0126582278481013
link1,960,600.0,120,100.0,0.21875,0.15833333333333333,1.381578947368421
link1,960,700.0,120,100.0,0.20833333333333331,0.15833333333333333,1.3157894736842104
link1,960,800.0,120,100.0,0.19791666666666669,0.16041666666666668,1.2337662337662338
link1,960,900.0,120,100.0,0.2604166666666667,0.15052083333333333,1.730103806228374
link1,1080,0.0,120,100.0,0.0,0.0,20.0
link1,1080,100.0,120,100.0,0.0,0.0,20.0
link1,1080,200.0,120,100.0,0.0,0.0,20.0
link1,1080,300.0,120,100.0,0.0,0.0,20.0
link1,1080,400.0,120,100.0,0.020833333333333336,0.010416666666666668,2.0
link1,1080,500.0,120,100.0,0.14583333333333334,0.078125,1.8666666666666667
link1,1080,600.0,120,100.0,0.25,0.08229166666666667,3.037974683544304
link1,1080,700.0,120,100.0,0.39583333333333337,0.065625,6.031746031746032
